ID,Label
1,alpine sea holly
2,anthurium
3,artichoke
4,azalea
5,ball moss
6,balloon flower
7,barbeton daisy
8,bearded iris
9,bee balm
10,bird of paradise
11,bishop of llandaff
12,black-eyed susan
13,blackberry lily
14,blanket flower
15,bolero deep blue
16,bougainvillea
17,bromelia
18,king protea
19,lenten rose
20,lotus
21,love in the mist
22,magnolia
23,mallow
24,marigold
25,mexican aster
26,mexican petunia
27,monkshood
28,moon orchid
29,morning glory
30,orange dahlia
31,osteospermum
32,oxeye daisy
33,passion flower
34,pelargonium
35,buttercup
36,california poppy
37,camellia
38,canna lily
39,canterbury bells
40,cape flower
41,carnation
42,cautleya spicata
43,clematis
44,colt's foot
45,columbine
46,common dandelion
47,corn poppy
48,cyclamen 
49,daffodil
50,desert-rose
51,english marigold
52,peruvian lily
53,petunia
54,pincushion flower
55,pink primrose
56,pink-yellow dahlia?
57,poinsettia
58,primula
59,prince of wales feathers
60,purple coneflower
61,red ginger
62,rose
63,ruby-lipped cattleya
64,siam tulip
65,silverbush
66,snapdragon
67,spear thistle
68,spring crocus
69,fire lily
70,foxglove
71,frangipani
72,fritillary
73,garden phlox
74,gaura
75,gazania
76,geranium
77,giant white arum lily
78,globe thistle
79,globe-flower
80,grape hyacinth
81,great masterwort
82,hard-leaved pocket orchid
83,hibiscus
84,hippeastrum 
85,japanese anemone
86,stemless gentian
87,sunflower
88,sweet pea
89,sweet william
90,sword lily
91,thorn apple
92,tiger lily
93,toad lily
94,tree mallow
95,tree poppy
96,trumpet creeper
97,wallflower
98,water lily
99,watercress
100,wild pansy
101,windflower
102,yellow iris
